RuleID,Type,Scope,Trigger,InputFields,OutputFields,FormulaOrConstraint,Rounding,Limit,EffectiveFrom,EffectiveTo,Evidence,TestID,ImplRef,Notes,Gate
CALC-COM-001,CALC,GLOBAL,케이스 생성/자산 저장,"BP1-004,BP2-008",RET-84-002,과세연도 = (가장 빠른) 양도일의 연도(YYYY). 자산별 양도일이 서로 다른 연도면 오류.,,,,,PDF84 p1; 과세연도 정의,T-COM-001,,,Y
VAL-COM-001,VAL,GLOBAL,모든 금액 계산/입력,*,*,모든 금액은 원화 정수(원단위). 소수점 허용 금지. 라운딩은 원단위 반올림(또는 절사) 정책을 룰팩에 고정.,KRW_INT,,,,PDF84 작성방법(원단위 표시),T-COM-VAL-001,,,Y
CALC-RATE-010,CALC,ASSET,자산 저장/세율코드 변경,"BP1-001,BP2-004,BP2-2-002","derived.rateKey,RET-84-090","세율구분코드 → (1) 표기 세율라벨, (2) 계산용 세율테이블 키(기본누진/단일/중과 등) 매핑. 룰팩(JSON)에서 로드.",,,,,PDF84 p3-4(세율구분코드),T-RATE-010,,,Y
CALC-RATE-020,CALC,ASSET,취득일/양도일 입력,"BP1-004,BP1-005,BP1-003,BP1-001",derived.assets[].rateApplied,단기보유(보유기간 1년 미만/1~2년) 대상인 경우 법령에 따라 단기세율 자동 적용(자산유형/주택 여부/시행일 룰팩 반영).,,,,,소득세법 제104조(양도소득세율) 및 국세청 세율 안내,T-RATE-020,,보유기간 산정 규칙(연/월) 포함.,Y
VAL-RATE-021,VAL,ASSET,취득일/양도일 입력,"BP1-004,BP1-005","BP1-004,BP1-005",양도일 >= 취득일. 동일일 양도 허용 여부는 룰팩. 보유기간 계산은 시행령 규정에 따라 연/월/일 단위 처리.,,,,,"소득세법 시행령 보유기간 산정(연미만은 월수, 일수는 1월)",T-RATE-VAL-021,,,Y
CALC-RATE-030,CALC,ASSET,미등기양도=예,userFlags.unregistered,derived.assets[].rateApplied,미등기 양도 자산은 법령에 따른 단일세율 적용(예: 70%). 대상 자산 범위/예외는 룰팩.,,,,,소득세법 제104조 및 국세청 안내,T-RATE-030,,,Y
VAL-DED-020,VAL,GLOBAL,기본공제 계산,"userFlags.unregistered,derived.assets[]",RET-84-070,미등기 양도 자산은 양도소득기본공제 적용 제외.,,,,,PDF84 작성방법(기본공제 유의사항),T-DED-020,,,Y
CALC-RATE-040,CALC,ASSET,비사업용토지=예,"userFlags.nonBusinessLand,BP1-001",derived.assets[].rateApplied,비사업용토지 중과세율(누진 가산) 적용. 가산폭/표는 룰팩으로 분리.,,,,,국세청 세율표/법령,T-RATE-040,,,Y
CALC-RATE-050,CALC,ASSET,다주택중과대상=예,"userFlags.multiHomeSurtax,BP1-004",derived.assets[].rateApplied,조정대상지역 다주택 중과/한시배제 기간을 룰팩으로 처리(양도일 기준).,,,,,"국세청 세율 안내(기간), 소득세법 제104조",T-RATE-050,,,Y
CALC-BP3-111,CALC,ASSET,부표3 입력 변경,BP3-111..BP3-116,BP3-999-A,취득가액 합계 = Σ(111~116).,KRW_INT,,,,PDF84 부표3 유의사항 2,T-BP3-111,,,Y
CALC-BP3-210,CALC,ASSET,부표3 입력 변경,BP3 expense codes,BP3-999-B,기타필요경비 합계 = Σ(필요경비 코드군).,KRW_INT,,,,PDF84 부표3 유의사항 3,T-BP3-210,,,Y
OUT-LINK-001,OUT,ASSET,출력/계산,"BP3-999-A,BP3-999-B","BP1-012,BP1-014","부표3 취득가액 합계는 부표1 취득가액으로, 필요경비 합계는 부표1 기타필요경비로 자동 이월.",,,,,PDF84 부표3 유의사항 2~3,T-OUT-LINK-001,,,Y
CALC-BP1-400,CALC,ASSET,취득가액종류=환산취득가액,"BP1-011,BP1-022,BP1-023,BP1-024,BP1-025",BP1-012,환산취득가액 = 양도가액 × (취득시 기준시가 합 / 양도시 기준시가 합). 합=건물+토지.,KRW_INT,,,,PDF84 부표1 작성방법(환산취득가액 산식),T-BP1-400,,,Y
VAL-BP1-401,VAL,ASSET,환산취득가액 계산,"BP1-022,BP1-023","BP1-022,BP1-023",양도시 기준시가 합(건물+토지)이 0이면 오류.,,,,,산식 분모 0 방지,T-BP1-VAL-401,,,Y
CALC-BP1-120,CALC,ASSET,고가주택(12억 초과) + 1세대1주택 비과세 판정값=예,"BP1-011,derived.assets[].transferGainTotal",derived.assets[].bp1.taxableTransferGain,과세대상양도차익 = 전체양도차익 × (양도가액-12억) / 양도가액.,KRW_INT,,,,국세청 세액계산요령(고가주택 안분),T-BP1-120,,,Y
CALC-BP1-220,CALC,ASSET,고가주택 안분 적용,"derived.assets[].ltDeductionTotal,BP1-011",derived.assets[].ltDeductionTaxable,과세대상 장특공 = 전체 장특공 × (양도가액-12억) / 양도가액.,KRW_INT,,,,국세청 세액계산요령(고가주택 장특공 안분),T-BP1-220,,,Y
CALC-LT-001,CALC,ASSET,장특공 코드/보유·거주기간 입력,"BP1-016,userInputs.holdingPeriod,userInputs.residencePeriod",derived.assets[].ltDeductionRate,장특공율 = (표1/표2/배제 등) 코드에 따라 룰팩 테이블에서 산정.,,,,,"소득세법 제95조(표1/표2), 시행령(보유/거주 기간)",T-LT-001,,,Y
CALC-BP1-200,CALC,ASSET,장특공 코드=일반,"derived.assets[].taxableTransferGain,derived.assets[].ltDeductionRate",derived.assets[].ltDeductionAmount,장특공액 = 과세대상양도차익 × 장특공율.,KRW_INT,,,,소득세법 제95조,T-LT-200,,,Y
CALC-BP1-100,CALC,ASSET,금액 입력,"BP1-011,BP1-012,BP1-014",derived.assets[].transferGainTotal,전체양도차익 = 양도가액 - 취득가액 - 기타필요경비.,KRW_INT,,,,부표1 산식,T-BP1-100,,,Y
